"geo_loc_uuid","dtype","political_unit_nme","name","default_nme","upper_admin_loc","city_tz_nme","ods_district","ods_city","ods_county","ods_state","ods_country","local_upper_admin_loc","internal_cde","unlocode","start_iodt","end_iodt","status","postal_cde","opzn_uuid","opzn_nme","opzn_default_nme","opzn_cde","fcil_uuid","fcil_nme","fcil_default_nme","port_uuid","port_nme","port_default_nme","city_suburb_uuid","city_suburb_cde","city_suburb_nme","city_suburb_default_nme","city_district_uuid","city_district_nme","city_district_cde","city_district_default_nme","city_uuid","city_cde","city_nme","city_default_nme","county_uuid","county_cde","county_nme","county_default_nme","state_uuid","state_cde","state_nme","state_default_nme","country_uuid","country_cde","country_nme","country_default_nme","continent_uuid","continent_cde","continent_nme","continent_default_nme","airport_uuid","airport_nme","airport_default_nme","auton_community_uuid","auton_community_nme","auton_community_default_nme","canton_uuid","canton_nme","canton_default_nme","cross_dock_uuid","cross_dock_nme","cross_dock_default_nme","cus_grp_regn_uuid","cus_grp_regn_nme","cus_grp_regn_default_nme","cus_site_uuid","cus_site_nme","cus_site_default_nme","department_uuid","department_nme","department_default_nme","depot_uuid","depot_nme","depot_default_nme","district_uuid","district_nme","district_default_nme","emirate_uuid","emirate_nme","emirate_default_nme","fcil_zone_uuid","fcil_zone_nme","fcil_zone_default_nme","governorate_uuid","governorate_nme","governorate_default_nme","island_uuid","island_nme","island_default_nme","loc_zone_uuid","loc_zone_nme","loc_zone_default_nme","municipality_uuid","municipality_nme","municipality_default_nme","nation_state_uuid","nation_state_nme","nation_state_default_nme","parish_uuid","parish_nme","parish_default_nme","prefecture_uuid","prefecture_nme","prefecture_default_nme","province_uuid","province_nme","province_default_nme","rail_ramp_uuid","rail_ramp_nme","rail_ramp_default_nme","regn_uuid","regn_nme","regn_default_nme","station_uuid","station_nme","station_default_nme","tmnl_uuid","tmnl_nme","tmnl_default_nme","warehouse_uuid","warehouse_nme","warehouse_default_nme","zone_uuid","zone_nme","zone_default_nme","is_logistics","carrier_id","is_liner","rec_cre_ts"
3444238434835568,Facility,Port,Port of Frankfurt,Port of Frankfurt,"Frankfurt am Main, Hessen, Germany",Europe/Berlin,"","",Frankfurt am Main,Hessen,Germany,"Frankfurt am Main, Hessen, Germany",FUT,DEFRA,"20230404000000.000",,Active,,1622879696501867,Frankfurt,Frankfurt,ZFR,3444238434835568,Port of Frankfurt,Port of Frankfurt,,,,,,,,,,,,461796493426961,FRA,Frankfurt,Frankfurt am Main,884008957698723,,Frankfurt am Main,Frankfurt am Main,884008957698736,,Hessen,Hessen,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
3444238424005560,Facility,Port,Rhein-Neckar-Hafen Mannheim,Mannheim Harbour,"Mannheim, Baden-Wuerttemberg, Germany",Europe/Berlin,"","",Mannheim,Baden-Wuerttemberg,Germany,"Mannheim, Baden-Wuerttemberg, Germany",MHG,DEMHG,"20180719000000.000",,Active,,1064483483161598,Mannheim,Mannheim,ZMH,3444238424005560,Rhein-Neckar-Hafen Mannheim,Mannheim Harbour,,,,,,,,,,,,461796493424036,MHM,Mannheim,Mannheim,884008957699165,,Mannheim,Mannheim,884008957698305,,Baden-Wuerttemberg,Baden-Wuerttemberg,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
3444238424689560,Facility,Port,Kehl,Kehl,"Ortenaukreis, Baden-Wuerttemberg, Germany",Europe/Berlin,"","",Ortenaukreis,Baden-Wuerttemberg,Germany,"Ortenaukreis, Baden-Wuerttemberg, Germany",KEH,DEKEH,"20181113000000.000",,Active,,1035888664699193,Germersheim,Germersheim,ZGE,3444238424689560,Kehl,Kehl,,,,,,,,,,,,461796493424045,OFB,Kehl am Rhein,Kehl,884008957699150,,Ortenaukreis,Ortenaukreis,884008957698305,,Baden-Wuerttemberg,Baden-Wuerttemberg,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
719087582548040,Facility,Port,Emmerich,Emmerich,"Kleve, Nordrhein-Westfalen, Germany",Europe/Berlin,"","",Kleve,Nordrhein-Westfalen,Germany,"Kleve, Nordrhein-Westfalen, Germany",EMR,DEEMM,"19990101000000.000",,Active,,1064483483161594,Duisburg,Duisburg,ZDR,719087582548040,Emmerich,Emmerich,,,,,,,,,,,,461802399000312,EMR,Emmerich,Emmerich,884008957698501,,Kleve,Kleve,884008957698791,,Nordrhein-Westfalen,Nordrhein-Westfalen,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
3444238434835567,Facility,Port,Port of Neuss,Port of Neuss,"Neuss, Nordrhein-Westfalen, Germany",Europe/Berlin,"","",Neuss,Nordrhein-Westfalen,Germany,"Neuss, Nordrhein-Westfalen, Germany",NDF,DENSS,"20230404000000.000",,Active,,1622879696501869,Dusseldorf,Dusseldorf,ZDU,3444238434835567,Port of Neuss,Port of Neuss,,,,,,,,,,,,461802399000320,NUS,Neuss,Neuss,884008957698511,,Neuss,Neuss,884008957698791,,Nordrhein-Westfalen,Nordrhein-Westfalen,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
2573646404443213,Facility,Port,Dusseldorf,Dusseldorf,"Dusseldorf, Nordrhein-Westfalen, Germany",Europe/Berlin,"","",Dusseldorf,Nordrhein-Westfalen,Germany,"Dusseldorf, Nordrhein-Westfalen, Germany",DUS,DEDUS,"19990101000000.000",,Active,,1622879696501869,Dusseldorf,Dusseldorf,ZDU,2573646404443213,Dusseldorf,Dusseldorf,,,,,,,,,,,,461802399000133,DUS,Dusseldorf,Duesseldorf,884008957698553,,Dusseldorf,Dusseldorf,884008957698791,,Nordrhein-Westfalen,Nordrhein-Westfalen,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
1730934630981096,Facility,Port,Duisburg,Duisburg,"Duisburg, Nordrhein-Westfalen, Germany",Europe/Berlin,"","",Duisburg,Nordrhein-Westfalen,Germany,"Duisburg, Nordrhein-Westfalen, Germany",DUI,DEDUI,"19990101000000.000",,Active,,1064483483161594,Duisburg,Duisburg,ZDR,1730934630981096,Duisburg,Duisburg,,,,,,,,,,,,461802398999668,DUI,Duisburg,Duisburg,884008957698561,,Duisburg,Duisburg,884008957698791,,Nordrhein-Westfalen,Nordrhein-Westfalen,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
3444238434579567,Facility,Port,Cologne,Cologne,"Koln, Nordrhein-Westfalen, Germany",Europe/Berlin,"","",Koln,Nordrhein-Westfalen,Germany,"Koln, Nordrhein-Westfalen, Germany",CGO,DECLP,"20230103000000.000",,Active,,1064483483161596,Koeln,Koeln,ZKN,3444238434579567,Cologne,Cologne,,,,,,,,,,,,461802399000044,COG,Cologne,Koeln,884008957698496,,Koln,Koln,884008957698791,,Nordrhein-Westfalen,Nordrhein-Westfalen,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
3444238434835569,Facility,Port,Port of Ludwigshafen,Port of Ludwigshafen,"Ludwigshafen Stadt, Rheinland-Pfalz, Germany",Europe/Berlin,"","",Ludwigshafen Stadt,Rheinland-Pfalz,Germany,"Ludwigshafen Stadt, Rheinland-Pfalz, Germany",LWG,DELUH,"20230404000000.000",,Active,,1064483483161598,Mannheim,Mannheim,ZMH,3444238434835569,Port of Ludwigshafen,Port of Ludwigshafen,,,,,,,,,,,,461802399001857,LDW,Ludwigshafen,Ludwigshafen,884008957698280,,Ludwigshafen Stadt,Ludwigshafen Stadt,884008957698797,,Rheinland-Pfalz,Rheinland-Pfalz,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
2529590240615624,Facility,Port,Mainz,Mainz,"Mainz, Rheinland-Pfalz, Germany",Europe/Berlin,"","",Mainz,Rheinland-Pfalz,Germany,"Mainz, Rheinland-Pfalz, Germany",MAI,DEMAI,"19990101000000.000",,Active,,1064483483161597,Mainz,Mainz,ZNX,2529590240615624,Mainz,Mainz,,,,,,,,,,,,461802399001855,MIZ,Mainz,Mainz,884008957698296,,Mainz,Mainz,884008957698797,,Rheinland-Pfalz,Rheinland-Pfalz,732281722056812,DE,Germany,Germany,884008957698338,EU,Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,50,1,2025-10-02 20:50:16
