"svc_cde","svc_nme","trade_cde","tradelane_cde","svc_type","eff_start_iodt","eff_end_iodt","svc_id","ssm_svc_id","voy_assgn_to","rec_cre_iodt","rec_cre_by","rec_upd_iodt","rec_upd_by","oa_cmn_cde","rec_cre_ts"
SBB3,SCAN BALTIC EXPRESS B 3 EXPIRED,IET,NEN,EINT,"20200801000000.000","20220818000000.000",260921,1067302,Entire Service,"20200820021136.162","1041","20220818081736.361","1041",,"20221211211512.000066"
TLP6,TRANSPACIFIC LATIN PACIFIC 6,LAT,ALW,Trunk Vessel,"20220601000000.000","20301231000000.000",382921,1076500,Entire Service,"20220609044924.222","1041","20221211130000.479",IR4_ITS,,"20221211211512.000066"
FSX,FRANCE SPAIN EXPRESS EXPIRED,IET,IET,Public Feeder,"20131128000000.000","20140430000000.000",341,10310,Entire Service,"20131128130517.456",,"20140430072451.307",XIERO,,"20221211211512.000066"
EGX,INTRA EGYPT XPRESS EXPIRED,IET,IET,Public Feeder,"20151225000000.000","20160712000000.000",1621,10415,Entire Service,"20151225070717.063",NIUGA,"20160714075231.653",XIERO,,"20221211211512.000066"
SEM,SPAIN EAST MED SERVICE,IET,SES,Public Feeder,"20160118000000.000","20271231000000.000",1662,10418,Entire Service,"20160118043058.593",XUJE7,"20221211130001.302",IR4_ITS,,"20221211211512.000066"
AIE,ANTWERP IRELAND SERVICE,IET,NEN,Public Feeder,"20170601000000.000","20231231000000.000",2841,10499,Entire Service,"20170601021739.547",XUJE7,"20221211130001.596",IR4_ITS,,"20221211211512.000066"
SKT5,KANTO SHANGHAI FRIDAY SERVICE(EXPIRED),IAT,IAT,EINT Feeder,"20180917000000.000","20191102000000.000",86921,1054402,Entire Service,"20180918032249.174","1041","20191113025437.284","1041",,"20221211211512.000066"
WAF3,WEST AFRICA SERVICE 3,LAT,AWA,Trunk Vessel,"20180919000000.000","20251231000000.000",112921,1054708,Entire Service,"20181004042531.045","1041","20221211130001.290",IR4_ITS,,"20221211211512.000066"
PFX2,POLAND FINLAND EXPRESS 2,IET,NEN,EINT,"20181030000000.000","20231231000000.000",118921,1055200,Entire Service,"20181030035330.375","1041","20221211130001.074",IR4_ITS,,"20221211211512.000066"
PMX,PAKISTAN AND MUNDRA EXPRESS SERVICE LOOP 1,IAT,IAT,EINT,"20181024000000.000","20281031000000.000",120921,1055201,Entire Service,"20181031072200.452","1041","20221211130001.234",IR4_ITS,,"20221211211512.000066"
LBS,LAEM CHABANG – BELAWAN SERVICE(EXPIRED)),IAT,IAT,EINT Feeder,"20190829000000.000","20191102000000.000",206921,1062000,Entire Service,"20190829014912.295","1041","20191114082701.023","1041",,"20221211211512.000066"
RFS7,BALTIC SEA EXPRESS,IET,NEN,EINT,"20210601000000.000","20251231000000.000",308921,1071200,Entire Service,"20210615124848.254","1041","20221211130001.775",IR4_ITS,,"20221211211512.000066"
AX1,ATLANTIC EXPRESS 1,TAT,TAN,Trunk Vessel,"20140331000000.000","20170516000000.000",561,10337,Entire Service,"20140331065145.268",ZHANGMA4,"20170522063555.183",XINNO,,"20221211211512.000066"
CSX3,CALCUTTA SINGAPORE EXPRESS 3,IAT,IAT,FINT,"20150801000000.000","20271231000000.000",1301,10393,Entire Service,"20150807011416.822",SONGLU,"20221211130001.327",IR4_ITS,,"20221211211512.000066"
SBB1,SCAN BALTIC EXPRESS B1 EXPIRED,IET,IET,EINT,"20151027000000.000","20220818000000.000",1402,10400,Entire Service,"20151027044543.907",XUJE7,"20220818081700.312","1041",,"20221211211512.000066"
SBF1,SCAN BALTIC EXPRESS F 1,IET,NEN,EINT,"20151027000000.000","20271231000000.000",1421,10403,Entire Service,"20151027051959.064",NIUGA,"20221211130001.430",IR4_ITS,,"20221211211512.000066"
YGN5,YANGON FEEDER SERVICE 5,IAT,IAT,FINT,"20151101000000.000","20271231000000.000",1521,10410,Entire Service,"20151113083040.765",FEIFR,"20221211130000.876",IR4_ITS,,"20221211211512.000066"
AE5,AE5 CHINA EUROPE SERVICE,AET,AEC,Trunk Vessel,"20060101000000.000","20121231000000.000",140,10148,Entire Service,"20120722105034.906",,"20170301061052.646",LIJO2,,"20221211211512.000066"
LBX,LEVANT BLACK SEA EXPRESS EXPIRED,IET,IET,Public Feeder,"20190428000000.000","20220818000000.000",178921,1059200,Entire Service,"20190501015550.433","1041","20220818080812.259","1041",,"20221211211512.000066"
TLC1,TRANSPACIFIC LATIN CARIBBEAN 1,LAT,ALE,Trunk Vessel,"20190501000000.000","20251231000000.000",182921,1059202,Entire Service,"20190502045107.657","1041","20221211130000.832",IR4_ITS,,"20221211211512.000067"
AGX3,ARABIAN GULF EXPRESS 3 EXPIRED,IAT,IAT,FINT,"20190709000000.000","20220525000000.000",192921,1060400,Entire Service,"20190709025816.106","1041","20220526092312.346","1041",,"20221211211512.000067"
TLAX,TRANSPACIFIC LATIN ATLANTIC EXPRESS,LAT,ALE,Trunk Vessel,"20190501000000.000","20251231000000.000",312921,1071600,Entire Service,"20210720091824.174","1041","20221211130001.742",IR4_ITS,,"20221211211512.000067"
JKT4,JAKARTA SERVICE 4,IAT,IAT,FINT,"20211201000000.000","20271231000000.000",354921,1074001,Entire Service,"20211203020812.195","1041","20221211130000.319",IR4_ITS,,"20221211211512.000067"
WAX,WEST ASIA EXPRESS SERVICE EXPIRED,IAT,IAT,EINT Feeder,"20130408000000.000","20170519000000.000",277,10295,Entire Service,"20130408063306.918",,"20170523024409.382",XIERO,,"20221211211512.000067"
VSF1,VIETNAM SINGAPORE FEEDER 1,IAT,IAT,FINT,"20140609000000.000","20211116000000.000",681,10348,Entire Service,"20140609014820.066",SONGLU,"20211117070448.391","1041",,"20221211211512.000067"
CAT,CHINA AUSTRALIA TAIWAN SERVICE,AUT,AUS,Trunk Vessel,"20170101000000.000","20181004000000.000",2721,10490,Entire Service,"20170322020912.028",ZHANGJO2,"20181004063400.835","1041",,"20221211211512.000067"
SNB,SCOTLAND TO NETHERLANDS BG FREIGHTLINE,IET,NEN,Public Feeder,"20180719000000.000","20231231000000.000",62921,1053600,Sector,"20180719075830.439","1041","20221211130001.387",IR4_ITS,,"20221211211512.000067"
PIX,PAKISTAN AND INDIA EXPRESS,IAT,IAT,EINT,"20180906000000.000","20201231000000.000",76921,1054200,Entire Service,"20180907070900.224","1041","20210202053448.180","1041",,"20221211211512.000067"
KVX,KOREA HAIPHONG SERVICE EXPIRED,IAT,IAT,EINT,"20200312000000.000","20220525000000.000",230921,1065000,Entire Service,"20200312002100.396","1041","20220526093612.202","1041",,"20221211211512.000067"
TGR,TURKIYE GEORGIA RUSSIA SERVICE,IET,SES,Public Feeder,"20200927000000.000","20241231000000.000",280921,1068500,Entire Service,"20201006123712.122","1041","20221211130001.256",IR4_ITS,,"20221211211512.000067"
HHZ3,NEW HKG HAI ZHJ HKG FEEDER 2 EXPIRED,IAT,IAT,Barge service,"20170801000000.000","20171015000000.000",2921,10504,Entire Service,"20170811032137.964",DAIDE,"20171014150001.350",IR4_ITS,,"20221211211512.000067"
BWX,BLACK SEA EXPRESS,IET,IET,Public Feeder,"20180606000000.000","20191205000000.000",46921,1052900,Entire Service,"20180607021610.546","1041","20191205081636.341","1041",,"20221211211512.000067"
CIX1,CHINA INDIA EXPRESS,IAT,IAT,EINT,"20181101000000.000","20251231000000.000",122921,1055202,Entire Service,"20181101020824.952","1041","20221211130000.645",IR4_ITS,,"20221211211512.000067"
NS3,JAPAN TAIWAN SERVICE,IAT,IAT,EINT,"20190815000000.000","20201231000000.000",204921,1061600,Entire Service,"20190815022400.341","1041","20210202053912.183","1041",,"20221211211512.000067"
CSS1,CHINA STRAITS SERVICE I,IAT,IAT,EINT,"20200821000000.000","20251231000000.000",264921,1067400,Entire Service,"20200821060112.205","1041","20221211130000.959",IR4_ITS,,"20221211211512.000067"
